latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.8261,28.21956,368.32,1.06,1.03,2021-07-29,1125,Aqua,MODIS,94,6.1NRT,334.64,102.56,D
36.82914,28.2436,362.88,1.06,1.03,2021-07-29,1125,Aqua,MODIS,92,6.1NRT,313.13,0,D
36.81901,28.21472,385.23,1.06,1.03,2021-07-29,1125,Aqua,MODIS,92,6.1NRT,329.95,153.74,D
36.8098,28.2163,378.23,1.06,1.03,2021-07-29,1125,Aqua,MODIS,82,6.1NRT,322.98,125.23,D
36.82048,28.22619,432.4,1.06,1.03,2021-07-29,1125,Aqua,MODIS,75,6.1NRT,400.07,510.2,D
36.98875,28.72957,311.68,2.97,1.64,2021-07-29,2046,Terra,MODIS,83,6.1NRT,301.14,36.2,N
36.82127,28.17908,313.74,2.73,1.58,2021-07-29,2046,Terra,MODIS,87,6.1NRT,299.66,36.73,N
36.82312,28.20876,334.23,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,305.4,133.42,N
36.80694,28.17929,316.88,2.73,1.58,2021-07-29,2046,Terra,MODIS,94,6.1NRT,302.83,46.84,N
36.8088,28.20938,320.41,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,305.51,61.44,N
36.79261,28.17939,317.88,2.73,1.58,2021-07-29,2046,Terra,MODIS,96,6.1NRT,303.29,50.75,N
36.79453,28.21108,320.54,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,304.62,61.73,N
36.83415,28.21327,313.76,2.74,1.58,2021-07-29,2046,Terra,MODIS,83,6.1NRT,301.92,36.07,N
36.81783,28.18485,323.65,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,301.68,75.25,N
36.81987,28.21466,332,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,305.92,118.22,N
36.80346,28.1846,319.53,2.73,1.58,2021-07-29,2046,Terra,MODIS,99,6.1NRT,303.71,58.39,N
36.80559,28.21607,314.3,2.74,1.58,2021-07-29,2046,Terra,MODIS,88,6.1NRT,304.18,37.61,N
36.78909,28.18419,329.95,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,305.1,105.96,N
36.79129,28.2172,322.18,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,305.16,67.25,N
36.77281,28.1547,327.39,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,301.74,90.96,N
36.77465,28.18275,370.21,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,309.6,485.12,N
36.77678,28.21529,323.18,2.74,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,306.61,71.19,N
36.75867,28.15738,341,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,302.5,0,N
36.76035,28.18328,369.29,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,309.19,0,N
36.74442,28.1583,369.6,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,306.21,0,N
36.74614,28.18517,366.53,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,312.45,0,N
36.73025,28.16043,396.45,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,310.27,973.98,N
36.73198,28.18781,415.61,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,320.56,1526.65,N
36.71597,28.16082,376.02,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,303.56,565.38,N
36.74075,28.1643,392.2,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,311.63,0,N
36.7427,28.19253,373.47,2.73,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,313.97,0,N
36.72466,28.13849,316.23,2.7,1.57,2021-07-29,2046,Terra,MODIS,49,6.1NRT,301.04,38.45,N
36.72663,28.1671,429.02,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,314.64,2015.15,N
36.71235,28.16758,337.92,2.71,1.58,2021-07-29,2046,Terra,MODIS,100,6.1NRT,301.01,150.89,N
36.7401,28.18873,333.28,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,306.18,0,N
36.75503,28.19191,331.3,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,303.5,0,N
36.77015,28.19164,327.85,3.09,1.67,2021-07-29,2326,Aqua,MODIS,97,6.1NRT,304.19,0,N
36.77235,28.15363,316.84,3.11,1.67,2021-07-29,2326,Aqua,MODIS,94,6.1NRT,300.58,60.36,N
36.71493,28.14116,322.19,3.11,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,299.69,79.09,N
36.72785,28.17745,338.74,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,305.24,188.39,N
36.7428,28.1801,328.52,3.09,1.67,2021-07-29,2326,Aqua,MODIS,98,6.1NRT,305.22,0,N
36.75774,28.18277,335.12,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,303.08,0,N
36.77277,28.18419,334.76,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,305.24,0,N
36.78536,28.18982,334.76,3.09,1.67,2021-07-29,2326,Aqua,MODIS,100,6.1NRT,304.74,164.3,N
36.78749,28.15372,311.85,3.11,1.67,2021-07-29,2326,Aqua,MODIS,16,6.1NRT,300.81,35.3,N
36.82848,28.22556,314.85,3.08,1.67,2021-07-29,2326,Aqua,MODIS,90,6.1NRT,301.02,50.6,N
36.8435,28.22668,312.56,3.08,1.67,2021-07-29,2326,Aqua,MODIS,85,6.1NRT,300.38,44.01,N
36.78586,28.21537,318.81,3.08,1.67,2021-07-29,2326,Aqua,MODIS,25,6.1NRT,303.81,54.38,N
36.78807,28.1815,324.97,3.09,1.67,2021-07-29,2326,Aqua,MODIS,91,6.1NRT,302.93,87.12,N
36.97674,28.74354,339.69,1.08,1.04,2021-07-30,0850,Terra,MODIS,86,6.1NRT,310.68,31.6,D
36.98425,28.75851,338.59,1.08,1.04,2021-07-30,0850,Terra,MODIS,85,6.1NRT,309.55,31.1,D
36.98592,28.74576,368.65,1.08,1.04,2021-07-30,0850,Terra,MODIS,100,6.1NRT,311.1,109.8,D
36.78155,28.18795,342.91,1.12,1.05,2021-07-30,0850,Terra,MODIS,78,6.1NRT,317.64,29.74,D
36.78308,28.17572,406.46,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,329.58,325.25,D
36.78469,28.16291,352.67,1.12,1.06,2021-07-30,0850,Terra,MODIS,95,6.1NRT,309.4,62.85,D
36.7895,28.20147,371.38,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,323.19,110.2,D
36.79105,28.18909,376.43,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,325.91,134.97,D
36.7926,28.17677,402.99,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,333.37,298.21,D
36.7942,28.1641,351.49,1.12,1.06,2021-07-30,0850,Terra,MODIS,95,6.1NRT,311.8,60.8,D
36.80051,28.19061,348.93,1.12,1.05,2021-07-30,0850,Terra,MODIS,83,6.1NRT,322.56,45.33,D
36.80207,28.17821,357.79,1.12,1.05,2021-07-30,0850,Terra,MODIS,98,6.1NRT,319.04,72.84,D
36.80996,28.19218,367.42,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,321.49,101.58,D
36.81154,28.17967,346.96,1.12,1.05,2021-07-30,0850,Terra,MODIS,87,6.1NRT,313.15,43.47,D
36.81417,28.19894,361.54,1.12,1.05,2021-07-30,0850,Terra,MODIS,99,6.1NRT,320.41,77.69,D
36.81572,28.18626,366.99,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,316.57,100.52,D
36.82206,28.21305,351.01,1.12,1.05,2021-07-30,0850,Terra,MODIS,86,6.1NRT,322.56,45.61,D
36.8236,28.20059,408.66,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,323.68,337.07,D
36.83145,28.21499,365.32,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,322.68,93.86,D
36.833,28.20246,361.33,1.12,1.05,2021-07-30,0850,Terra,MODIS,100,6.1NRT,318.18,80.63,D
36.84086,28.21679,339.69,1.12,1.05,2021-07-30,0850,Terra,MODIS,82,6.1NRT,316.02,27.16,D
36.77463,28.19434,360.02,4.41,1.93,2021-07-30,1208,Aqua,MODIS,90,6.1NRT,307.31,0,D
36.77723,28.18669,340.46,4.41,1.93,2021-07-30,1208,Aqua,MODIS,0,6.1NRT,307.7,248.29,D
36.8124,28.19129,332.81,4.41,1.93,2021-07-30,1208,Aqua,MODIS,0,6.1NRT,310.14,162.36,D
36.82991,28.19138,339.11,4.41,1.93,2021-07-30,1208,Aqua,MODIS,0,6.1NRT,313.11,239.84,D
36.81227,28.18684,333.37,4.41,1.93,2021-07-30,1208,Aqua,MODIS,0,6.1NRT,310.27,165.52,D
36.82978,28.18736,336.99,4.41,1.93,2021-07-30,1208,Aqua,MODIS,0,6.1NRT,313.22,210.21,D
36.99169,28.73506,314.07,1.28,1.12,2021-07-30,1951,Terra,MODIS,88,6.1NRT,301.49,11.96,N
36.9944,28.75061,321.96,1.27,1.12,2021-07-30,1951,Terra,MODIS,100,6.1NRT,300.46,22.16,N
36.98459,28.75364,326.03,1.27,1.12,2021-07-30,1951,Terra,MODIS,100,6.1NRT,301.54,28.56,N
36.98712,28.7681,311.36,1.27,1.12,2021-07-30,1951,Terra,MODIS,74,6.1NRT,299.33,8.65,N
36.83256,28.20034,327.67,1.36,1.16,2021-07-30,1951,Terra,MODIS,100,6.1NRT,302.14,33.47,N
36.83533,28.21544,312.96,1.36,1.16,2021-07-30,1951,Terra,MODIS,85,6.1NRT,302.08,10.84,N
36.80395,28.1616,310.45,1.37,1.16,2021-07-30,1951,Terra,MODIS,46,6.1NRT,300.28,7.83,N
36.80673,28.1766,317,1.37,1.16,2021-07-30,1951,Terra,MODIS,94,6.1NRT,301.6,16.17,N
36.80826,28.16619,314.93,1.37,1.16,2021-07-30,1951,Terra,MODIS,85,6.1NRT,300.46,12.6,N
36.81087,28.18069,315.24,1.37,1.16,2021-07-30,1951,Terra,MODIS,90,6.1NRT,301.26,13.12,N
36.73872,28.13844,320.89,1.38,1.16,2021-07-30,1951,Terra,MODIS,100,6.1NRT,300.63,21.47,N
36.74166,28.1544,336.33,1.38,1.16,2021-07-30,1951,Terra,MODIS,100,6.1NRT,301.81,51.77,N
36.57885,29.13278,313.58,1.05,1.02,2021-07-31,0009,Aqua,MODIS,86,6.1NRT,302.55,7.87,N
36.98829,28.77159,326.11,1.02,1.01,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,299.98,21.08,N
36.99008,28.76022,338.74,1.02,1.01,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,302.19,38.94,N
36.99179,28.74931,310.42,1.02,1.01,2021-07-31,0009,Aqua,MODIS,31,6.1NRT,299.89,5.89,N
36.99906,28.76214,346.55,1.02,1.01,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,300.01,53.67,N
37.00078,28.75118,320.13,1.02,1.01,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,298.4,14.47,N
36.73204,28.15463,310.08,1.01,1,2021-07-31,0009,Aqua,MODIS,77,6.1NRT,299.77,5.79,N
36.73928,28.16756,323.74,1.01,1,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,301.52,17.6,N
36.74096,28.15658,334.62,1.01,1,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,302.5,31.4,N
36.74818,28.1696,317.94,1.01,1,2021-07-31,0009,Aqua,MODIS,96,6.1NRT,301.96,11.65,N
36.74984,28.15878,311.68,1.01,1,2021-07-31,0009,Aqua,MODIS,81,6.1NRT,299.72,6.57,N
36.76765,28.16267,313.08,1.01,1,2021-07-31,0009,Aqua,MODIS,85,6.1NRT,300.68,7.85,N
36.77655,28.16461,312.11,1.01,1,2021-07-31,0009,Aqua,MODIS,83,6.1NRT,301.27,7.21,N
36.78376,28.17787,312.37,1.01,1,2021-07-31,0009,Aqua,MODIS,83,6.1NRT,301.23,7.46,N
36.78543,28.16682,315.66,1.01,1,2021-07-31,0009,Aqua,MODIS,91,6.1NRT,301.29,10.19,N
36.79442,28.17476,313.03,1.01,1,2021-07-31,0009,Aqua,MODIS,85,6.1NRT,300.96,7.95,N
36.79314,28.24346,316.63,1.01,1,2021-07-31,0009,Aqua,MODIS,93,6.1NRT,303.8,10.21,N
36.80331,28.17686,325.11,1.01,1,2021-07-31,0009,Aqua,MODIS,100,6.1NRT,300.69,19.56,N
36.805,28.16578,314.9,1.01,1,2021-07-31,0009,Aqua,MODIS,89,6.1NRT,299.53,10.01,N
36.81219,28.17901,312.08,1.01,1,2021-07-31,0009,Aqua,MODIS,82,6.1NRT,299.12,7.86,N
36.83551,28.20739,316.99,1.01,1,2021-07-31,0009,Aqua,MODIS,94,6.1NRT,300.38,11.6,N
36.84272,28.2205,309.75,1.01,1,2021-07-31,0009,Aqua,MODIS,64,6.1NRT,299.26,5.56,N
36.84441,28.20945,315.2,1.01,1,2021-07-31,0009,Aqua,MODIS,90,6.1NRT,298.75,10.09,N
36.80236,28.19273,329.91,2.26,1.46,2021-07-31,0932,Terra,MODIS,53,6.1NRT,312.77,37.43,D
36.82212,28.16952,328.02,2.25,1.45,2021-07-31,0932,Terra,MODIS,54,6.1NRT,312.9,34.38,D
36.81694,28.1936,328.2,2.26,1.46,2021-07-31,0932,Terra,MODIS,73,6.1NRT,312.96,32.61,D
36.80983,28.16351,376.05,2.25,1.45,2021-07-31,0932,Terra,MODIS,94,6.1NRT,314.45,394.11,D
36.80452,28.18809,349.13,2.26,1.46,2021-07-31,0932,Terra,MODIS,95,6.1NRT,313.28,140.11,D
36.79705,28.15987,365.72,2.25,1.45,2021-07-31,0932,Terra,MODIS,87,6.1NRT,310.54,280.07,D
36.79208,28.18272,358.34,2.26,1.46,2021-07-31,0932,Terra,MODIS,99,6.1NRT,310.93,211.41,D
36.78473,28.15406,326.39,2.25,1.45,2021-07-31,0932,Terra,MODIS,60,6.1NRT,306.51,33.9,D
36.78002,28.17564,330.42,2.26,1.46,2021-07-31,0932,Terra,MODIS,83,6.1NRT,306.57,48.6,D
37.01347,28.75855,335.01,2.43,1.5,2021-07-31,0932,Terra,MODIS,84,6.1NRT,303.31,95.15,D
36.99991,28.7564,345.96,2.43,1.5,2021-07-31,0932,Terra,MODIS,92,6.1NRT,305.43,159.76,D
36.99409,28.78227,324.67,2.44,1.51,2021-07-31,0932,Terra,MODIS,58,6.1NRT,303.93,45.24,D
36.98574,28.77611,324.56,2.44,1.51,2021-07-31,0932,Terra,MODIS,61,6.1NRT,303.56,38.04,D
36.84022,28.20625,335.7,2.26,1.46,2021-07-31,0932,Terra,MODIS,73,6.1NRT,312.69,67.08,D
36.82011,28.17414,348.21,2.25,1.45,2021-07-31,0932,Terra,MODIS,93,6.1NRT,313.62,140.3,D
36.81482,28.19798,328.88,2.26,1.46,2021-07-31,0932,Terra,MODIS,38,6.1NRT,313,34.57,D
36.80777,28.16847,382.26,2.25,1.45,2021-07-31,0932,Terra,MODIS,100,6.1NRT,315.78,479.7,D
36.72647,28.14937,329.73,1.03,1.02,2021-07-31,1113,Aqua,MODIS,48,6.1NRT,311.27,13.64,D
36.73726,28.15886,332.57,1.03,1.01,2021-07-31,1113,Aqua,MODIS,71,6.1NRT,310.19,16.57,D
36.75582,28.15961,345.81,1.03,1.01,2021-07-31,1113,Aqua,MODIS,90,6.1NRT,311.07,40.41,D
36.76481,28.15747,331.5,1.03,1.01,2021-07-31,1113,Aqua,MODIS,56,6.1NRT,309.65,15.34,D
36.77567,28.16727,347.61,1.03,1.01,2021-07-31,1113,Aqua,MODIS,92,6.1NRT,311.38,40.77,D
36.77384,28.15553,341.69,1.03,1.01,2021-07-31,1113,Aqua,MODIS,86,6.1NRT,310.07,29.49,D
36.78458,28.16464,350.08,1.03,1.01,2021-07-31,1113,Aqua,MODIS,93,6.1NRT,312.78,45.54,D
36.79529,28.17353,334.94,1.03,1.01,2021-07-31,1113,Aqua,MODIS,63,6.1NRT,317.25,14.9,D
36.79353,28.16212,343.96,1.03,1.01,2021-07-31,1113,Aqua,MODIS,89,6.1NRT,314.57,32.39,D
36.80427,28.17129,379.1,1.03,1.01,2021-07-31,1113,Aqua,MODIS,100,6.1NRT,324.28,130.93,D
36.8025,28.1598,402.9,1.03,1.01,2021-07-31,1113,Aqua,MODIS,100,6.1NRT,328.14,260.32,D
36.81499,28.18024,355.61,1.03,1.01,2021-07-31,1113,Aqua,MODIS,97,6.1NRT,320.93,51.03,D
36.81325,28.16903,388.04,1.03,1.01,2021-07-31,1113,Aqua,MODIS,100,6.1NRT,324.92,171.91,D
36.81151,28.15777,354.18,1.03,1.01,2021-07-31,1113,Aqua,MODIS,96,6.1NRT,318.28,51.42,D
36.82572,28.18935,338.5,1.03,1.01,2021-07-31,1113,Aqua,MODIS,67,6.1NRT,320.2,17.33,D
36.83996,28.22146,338.7,1.03,1.01,2021-07-31,1113,Aqua,MODIS,76,6.1NRT,319.44,19.42,D
36.83821,28.21,338.7,1.03,1.01,2021-07-31,1113,Aqua,MODIS,58,6.1NRT,319.8,18.51,D
36.97717,28.76549,330.75,1.01,1,2021-07-31,1113,Aqua,MODIS,57,6.1NRT,310.41,13.6,D
36.98774,28.7747,338.05,1.01,1,2021-07-31,1113,Aqua,MODIS,82,6.1NRT,311.35,26.11,D
36.98609,28.76368,350.99,1.01,1,2021-07-31,1113,Aqua,MODIS,94,6.1NRT,312.92,50.19,D
36.99499,28.76162,337.75,1.01,1,2021-07-31,1113,Aqua,MODIS,82,6.1NRT,316.5,26.9,D
36.99331,28.75025,376.71,1.01,1,2021-07-31,1113,Aqua,MODIS,100,6.1NRT,318.54,127.34,D
36.99163,28.73893,360.48,1.01,1,2021-07-31,1113,Aqua,MODIS,100,6.1NRT,314.49,73.96,D
37.00556,28.77095,334.39,1.01,1,2021-07-31,1113,Aqua,MODIS,77,6.1NRT,309.88,22.46,D
37.00389,28.75968,359.78,1.01,1,2021-07-31,1113,Aqua,MODIS,99,6.1NRT,312.79,74.1,D
37.00221,28.74825,335.74,1.01,1,2021-07-31,1113,Aqua,MODIS,79,6.1NRT,308.03,23.84,D
37.04536,27.76126,357.83,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,302.28,156.57,N
37.00959,28.73782,310.83,1.89,1.34,2021-07-31,2034,Terra,MODIS,72,6.1NRT,298.97,15.42,N
37.05656,27.75817,354.94,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,302.1,142.77,N
37.0549,27.74002,377.2,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,314.06,283.35,N
37.05338,27.72342,428.07,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,320.73,952.5,N
37.03088,27.72791,319.92,1.64,1.26,2021-07-31,2034,Terra,MODIS,99,6.1NRT,302.84,21.66,N
37.03252,27.74622,321,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,303.99,24.92,N
37.04182,27.71442,324.18,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,303.65,31.42,N
37.04348,27.73168,387.63,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,313.22,372.14,N
37.04519,27.74939,422.33,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,314.63,847.76,N
37.05182,27.70633,409.26,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,309.71,632.85,N
37.06636,27.73997,345.49,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,307.39,99.71,N
37.06474,27.72228,365.28,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,309.13,196.85,N
37.0631,27.70459,337.84,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,301.42,69.78,N
37.03403,27.75257,353.45,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,304.4,131.15,N
37.03228,27.73437,345.65,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,304.63,96.58,N
36.78772,28.1519,321.23,1.73,1.29,2021-07-31,2034,Terra,MODIS,100,6.1NRT,302.03,30.91,N
36.79578,28.14659,310.03,1.73,1.29,2021-07-31,2034,Terra,MODIS,53,6.1NRT,299.78,10.81,N
37.01098,28.75422,316.28,1.9,1.35,2021-07-31,2034,Terra,MODIS,93,6.1NRT,297.7,27.52,N
37.04372,27.74324,429.81,1.65,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,319.49,990.55,N
37.07775,27.73904,318.83,1.65,1.26,2021-07-31,2034,Terra,MODIS,86,6.1NRT,302.3,23.61,N
37.07611,27.7213,319.24,1.64,1.26,2021-07-31,2034,Terra,MODIS,94,6.1NRT,303.08,24.32,N
37.08756,27.7212,317.46,1.64,1.26,2021-07-31,2034,Terra,MODIS,95,6.1NRT,302.32,22.39,N
37.08583,27.7027,312.19,1.64,1.26,2021-07-31,2034,Terra,MODIS,47,6.1NRT,299.44,13.07,N
36.76451,28.15469,315.03,1.73,1.29,2021-07-31,2034,Terra,MODIS,87,6.1NRT,300.4,19,N
37.04212,27.72554,354.82,1.64,1.26,2021-07-31,2034,Terra,MODIS,100,6.1NRT,307.79,136.93,N
37.04941,27.70831,381.67,3.26,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,305.92,877.64,N
37.07095,27.75162,312.06,3.28,1.71,2021-08-01,0052,Aqua,MODIS,84,6.1NRT,299.09,47.19,N
37.06435,27.71303,325.82,3.26,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,298.93,117.87,N
37.05668,27.74407,325.56,3.28,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,301.04,113.43,N
37.03005,27.73232,400.49,3.28,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,312.47,1413.94,N
36.7822,28.15166,310.21,3.53,1.77,2021-08-01,0052,Aqua,MODIS,50,6.1NRT,298.41,37.21,N
37.03845,27.6977,403.72,3.26,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,306.8,1519.49,N
37.03658,27.77192,322.81,3.3,1.72,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,300.88,96.12,N
37.02095,27.76979,337.16,3.3,1.72,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,303.88,197.12,N
37.04752,27.78106,313.75,3.3,1.72,2021-08-01,0052,Aqua,MODIS,88,6.1NRT,299.32,49.26,N
37.02336,27.69363,313.37,3.26,1.71,2021-08-01,0052,Aqua,MODIS,82,6.1NRT,300.11,47.66,N
37.05328,27.70286,362.67,3.26,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,301.1,502.23,N
36.77366,28.18572,308.39,3.55,1.77,2021-08-01,0052,Aqua,MODIS,11,6.1NRT,298.05,31.88,N
36.75851,28.17954,334.94,3.55,1.77,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,299.34,191.44,N
36.76581,28.17493,341.61,3.55,1.77,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,299.65,263.27,N
37.05215,27.77421,314.14,3.3,1.72,2021-08-01,0052,Aqua,MODIS,62,6.1NRT,299.13,48.18,N
37.06063,27.73903,317.81,3.28,1.71,2021-08-01,0052,Aqua,MODIS,94,6.1NRT,300.5,68.66,N
37.03158,27.78011,311.08,3.3,1.72,2021-08-01,0052,Aqua,MODIS,82,6.1NRT,300.45,38.4,N
37.04111,27.74177,370.13,3.28,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,306.16,634.93,N
37.01462,27.72948,314.59,3.28,1.71,2021-08-01,0052,Aqua,MODIS,86,6.1NRT,300.42,51.73,N
37.04546,27.73517,374.04,3.28,1.71,2021-08-01,0052,Aqua,MODIS,100,6.1NRT,305.8,708.45,N
37.07484,27.74692,309.33,3.28,1.71,2021-08-01,0052,Aqua,MODIS,47,6.1NRT,298.71,33.06,N
36.81395,28.16136,335.9,1.6,1.25,2021-08-01,0837,Terra,MODIS,72,6.1NRT,317.63,33.89,D
36.80465,28.14083,368.52,1.6,1.25,2021-08-01,0837,Terra,MODIS,75,6.1NRT,317.26,181.08,D
36.8028,28.15943,365.54,1.6,1.25,2021-08-01,0837,Terra,MODIS,94,6.1NRT,319.94,160.13,D
36.78023,28.15829,341,1.6,1.25,2021-08-01,0837,Terra,MODIS,63,6.1NRT,314.23,45.26,D
37.0584,27.73244,343.05,1.71,1.28,2021-08-01,0837,Terra,MODIS,81,6.1NRT,310.94,63.41,D
37.05655,27.75282,474.92,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,327.95,2348.42,D
37.05486,27.77128,390.75,1.7,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,310.72,402.72,D
37.0514,27.80913,323.38,1.69,1.28,2021-08-01,0837,Terra,MODIS,41,6.1NRT,308.05,12.21,D
37.04881,27.70937,336.26,1.72,1.29,2021-08-01,0837,Terra,MODIS,64,6.1NRT,314.92,44.41,D
37.04518,27.7496,351.39,1.71,1.28,2021-08-01,0837,Terra,MODIS,95,6.1NRT,306.37,102.14,D
37.05978,27.7458,437,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,328.37,1180.28,D
37.05791,27.76501,436.77,1.7,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,321.99,1171.46,D
37.04836,27.74337,364.12,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,307.87,172.95,D
37.04653,27.76226,366.2,1.7,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,308.47,185.38,D
37.04081,27.70046,343.87,1.72,1.29,2021-08-01,0837,Terra,MODIS,81,6.1NRT,314.93,70.15,D
37.07011,27.73213,343.18,1.71,1.28,2021-08-01,0837,Terra,MODIS,84,6.1NRT,313.86,65.06,D
37.0682,27.75293,431.85,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,331.23,1063.98,D
37.06637,27.77279,361.28,1.7,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,310.77,158.87,D
37.03888,27.72057,369.63,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,309.37,208.83,D
37.03518,27.75909,333.51,1.7,1.28,2021-08-01,0837,Terra,MODIS,40,6.1NRT,307.95,30.79,D
37.02925,27.69888,356.15,1.72,1.29,2021-08-01,0837,Terra,MODIS,97,6.1NRT,315.26,129.17,D
37.02739,27.71848,350.01,1.71,1.28,2021-08-01,0837,Terra,MODIS,94,6.1NRT,306.65,97.06,D
37.02383,27.75592,360.39,1.7,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,311.76,150.83,D
37.09703,27.69405,330.88,1.72,1.29,2021-08-01,0837,Terra,MODIS,52,6.1NRT,315.48,23.63,D
37.09518,27.7139,339.58,1.72,1.29,2021-08-01,0837,Terra,MODIS,86,6.1NRT,317.86,51.98,D
37.08169,27.7332,361.24,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,314.91,156.4,D
37.07977,27.75393,365.89,1.71,1.28,2021-08-01,0837,Terra,MODIS,100,6.1NRT,312.22,187.52,D
37.01958,27.67735,325.2,1.72,1.29,2021-08-01,0837,Terra,MODIS,41,6.1NRT,310.53,16.34,D
37.01783,27.69593,348.82,1.72,1.29,2021-08-01,0837,Terra,MODIS,81,6.1NRT,310.16,95.65,D
37.016,27.71539,365.09,1.71,1.28,2021-08-01,0837,Terra,MODIS,75,6.1NRT,307.5,180.22,D
